covariate,mean,sd,min,max
elevation,2507.8372093023254,205.50701019417826,1688,2899
TPI,0.5697674418604651,3.4574800601960187,-12,20
road,837.0988372093024,644.0874196948472,60,2871
stream,363.04651162790697,179.1463452842278,90,1008
reserve,1113.3255813953488,672.0003035689315,146,3901
